编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,技法类型,技法名称,适用场景,常见误区,正例,反例
WT-001,write,对话,知识补充,对话声线|口吻区分|人物对话|潜台词,角色说话怎么区分|口吻怎么写|不同人说话一样怎么办,全部,优先区分角色的身份、情绪和关系，再分配词汇、句长和潜台词，不要只改称呼。,"多角色对话要靠词汇、句长、语气和潜台词拉开差异，避免全员同一书面腔。","人物声线差异可以从礼貌程度、句式长短、口头习惯、攻击方式和回避信息的方式上稳定体现。",对话,声线差异化,多角色连续对话、冲突对话、试探性对话,所有角色都说同样的完整书面句，只有称呼不同,"“你先说结论。”他敲了敲桌面，语气短硬。“前辈若愿意听完，我再解释来龙去脉。”女子答得很稳。","“你先说结论。”他说。“前辈如果愿意听完，我再解释来龙去脉。”她说。两个人都像同一个作者在说话。"
WT-002,write,情感,知识补充,情感描写|心理描写|内心独白|情绪变化,心理怎么写|情感戏怎么写|内心戏怎么写,全部,先写触发源和身体反应，再写意识层判断，避免空转自述和单纯概念词堆叠。,"情感与心理描写要把触发、身体反应、意识判断串起来，避免只写抽象情绪名词。","可按触发事件→细微反应→意识解释→行动倾向推进，让心理变化既可感知又能推动下一步剧情。",情感,情绪递进式心理描写,情感戏、受挫反应、心态转折、关系推进,只写“他很难过”“她很愤怒”这类结论，缺少触发和表现,"门关上的瞬间，他才后知后觉地发现掌心全是汗。那句原本准备好的解释堵在喉咙里，怎么也说不出来。","他现在非常难过，也非常痛苦，非常纠结，心里充满了复杂的情绪。"
WT-003,write,场景,提醒,场景描写|五感描写|氛围营造|环境描写,场面怎么写得有画面|环境怎么写不拖沓,全部,场景描写只保留当前情节最有用的感官信息，让环境服务动作、情绪和冲突。,"场景描写要用少量高辨识度感官细节建立画面，而不是堆满静态形容词拖慢节奏。","优先挑与当前冲突最相关的视觉、听觉、触觉信息，环境变化最好能同步回应人物状态。",场景,五感聚焦式场景描写,战斗前压迫感、情感场景氛围、转场开场,把所有感官和修辞一次性铺满，导致正文停滞,"廊下风声很紧，灯火被吹得忽明忽暗，她一句话没说，却把握剑的手收得更紧。","夜色很黑，天空很黑，风很冷，空气很冷，四周都很冷，整段只有氛围词没有推进。"
WT-004,write|plan,节奏,知识补充,压抑后爆发|节奏拉扯|蓄压爆发|爽点兑现,压抑后怎么爆发|怎么先憋后爽|爆发节奏怎么排,全部,压抑段必须持续积累限制和情绪，爆发段必须集中兑现前文承诺，避免前后脱节。,"压抑后爆发的节奏要先蓄压、再破局、最后兑现，让读者明确感到前面的憋屈没有白受。","压抑段要写清主角为何暂时受限，爆发段要回收铺垫、翻转关系并改写局面，不能只是突然赢了。",节奏,蓄压后集中爆发,反杀、复仇、反转、章末兑现,压抑阶段没有真实限制，爆发阶段没有兑现前文承诺,"他忍了整整三场考核，没有解释半句。直到宗门长老要当众废掉他的名额，他才抬手亮出令牌，整个议事堂瞬间安静下来。","前文几乎没有压抑铺垫，后文却突然大胜，读者感受不到蓄压和兑现的落差。"
WT-005,write,对话,知识补充,去水词对话|对话压缩|冲突对话|信息密度,去水词对话|废话太多怎么办|对话怎么更有信息量|寒暄太多,全部,删掉不推进关系和情节的寒暄，把台词集中到冲突、地位差和潜台词上。,"高信息量对话要去掉空转寒暄，让每一句都在传递态度、关系变化或情节推进。","可先判断本场对话的目标，再保留能体现地位差、情绪压力和隐藏诉求的台词，其他内容尽量压缩。",对话,去水词冲突对话,谈判、对峙、摊牌、审问,人物一直绕圈寒暄或重复解释，读者看完不知道关系和局势发生了什么,"“结论。”他连杯子都没碰，视线落在她手里的文件上。“可以签，但你得先告诉我，你昨晚为什么绕过我去见他。”","“你来了。”“嗯，我来了。”“你今天还好吗？”“还好，你呢？”一整段都在寒暄，没有推进。"
WT-006,write,情感,知识补充,高情绪场景|激烈吵架|诀别场景|情绪爆发,吵架场景怎么写|诀别戏怎么写|情绪戏怎么推进,全部,按铺垫→爆发→余韵的三段式推进情绪场景，不要一上来就高声量互骂。,"高情绪场景需要先积累矛盾和压迫，再在临界点爆发，最后留出余波和关系变化。","铺垫段负责引出矛盾和立场，爆发段集中打出核心质问与反击，余韵段用沉默、动作或环境收束情绪。",情感,高情绪场景三段式,激烈争执、诀别、失控告白、道歉失败,一开场就爆发且缺少前置矛盾，或者爆发结束后没有任何关系后果,"她本来只是把那封信放到桌上，声音也很轻。直到他说出“我从没答应过你”，她才像被彻底逼到墙角，攥紧指节把压了整章的话一次性掀开。","两个人一上来就大吼大叫，吵完立刻切场，关系像什么都没发生过。"
WT-007,write,战斗,知识补充,战斗分镜|战斗节奏|环境互动|战斗编排,战斗分镜怎么写|战斗场景怎么走位|地形怎么写进打斗,全部,先确定节拍和走位，再把地形、停顿和终结一击写进战斗链，避免人物在真空里互殴。,"战斗分镜要让攻击、闪避、反击、陷阱和环境互动形成清楚节拍，而不是所有动作挤成一团。","可按快交换→短停顿→关键技揭示推进；环境破坏、掩体、视角拉近拉远都应服务战斗理解。",战斗,分镜式战斗编排,智斗、团战、终局对决、能力对抗,只写招式名和结果，不写走位、空间关系和环境反馈,"他一刀逼退对手后并没有立刻追击，而是借着墙面坍塌扬起的灰尘侧移半步，把那枚提前埋下的符钉留在了对方落脚点。","两个人快速交手了很多回合，场面十分激烈，最终主角放大招赢了。"
WT-008,write|plan,叙事,知识补充,伏笔布局|伏笔回收|长线伏笔|线索管理,伏笔怎么埋|伏笔怎么回收|长线伏笔怎么排,全部,把伏笔分成核心、支线、装饰三级，并预设回收窗口和兜底方案，禁止只埋不收。,长篇伏笔要区分层级、首次出现方式和回收窗口，避免所有线索都挤成同一重量。,核心伏笔负责主线逆转，支线伏笔丰富层次，装饰伏笔增强真实感；每条都要有表层解释和真实含义。,叙事,三级伏笔布局,悬疑线|长篇主线|身份反转|世界观揭示,埋得太显眼|只埋不收|回收前毫无中继提示,他第一次见到那枚旧钥匙时只当是废物，三十章后才发现那是封印室唯一的开门物。,前期随手写一堆奇怪细节，后期想用哪个再临时硬解释。
WT-009,write,对话,知识补充,多人对话|群像对白|动作锚点|谁在说话,多人对话怎么不乱|群像对白怎么写|谁在说话怎么标,全部,每次发言都绑定动作、视线或位置变化，让说话顺序和心理活动可追踪。,多人对话要靠动作锚点、沉默者反应和句式差异维持清晰，不要只靠连续引号。,越是四人以上场面，越要让插话、观察、打断和沉默承担信息功能，否则场面会迅速糊成一团。,对话,动作锚点式多人对话,会议|谋划|审讯|群像争执,所有人只轮流说台词|沉默角色完全消失|读者分不清发言者,他说完把杯子扣在桌上，最角落里一直不作声的人却忽然抬眼看向门口。,甲说一句乙说一句丙说一句丁说一句，台词像排队点名。
WT-010,write|plan,结构,知识补充,场景卡|场景结构|目的冲突转折结果|场景设计,场景怎么搭结构|场景卡怎么写|一场戏要有什么,全部,每个场景都先写目的、冲突、转折、结果四元，再下笔正文，避免漂亮但无功能的空场。,单场戏最稳的骨架是目的、冲突、转折、结果四元，能防止场景只热闹不推进。,目的决定这场戏为什么存在，冲突负责张力，转折负责变化，结果负责把影响传给下一场。,结构,场景卡四元结构,章节拆分|场景纲|高密度叙事|修文,只有情绪没有目标|只有冲突没有转折|写完对后文零影响,他本想借宴会试探敌意，却因刺客闯入被迫提前站队，结果同时暴露了真实身份。,整场戏只是在酒楼闲聊，既没新增信息也没改变关系和局面。
WT-011,write|plan,设定执行,知识补充,金手指使用|代价闭环|外挂出手|力量反噬,金手指出手怎么写|外挂怎么用才不崩|能力代价怎么落地,玄幻|都市|科幻|奇幻,把绝境、启动、效果、即时代价和后续余波写成闭环，禁止只写开挂爽不写反噬。,金手指出手场景要同时兑现翻盘和代价，让能力成为剧情转折而不是无成本按钮。,最好先证明常规手段已失效，再写力量绽放和立刻到来的虚弱、暴露或关系后果。,设定执行,代价闭环式金手指出手,绝境翻盘|中后期底牌|系统爆发|禁术开启,没有使用必然性|代价拖到很久以后|一开完挂就像没事人,他借那口黑刀斩开封锁，下一瞬膝盖却重重砸地，腕骨像被火从内里烧裂。,主角一遇到危险就随便开挂解决，身体和局势都没有任何反噬。
WT-012,write|plan,悬疑,知识补充,红鲱鱼|误导线索|假嫌疑人|悬疑误导,红鲱鱼怎么写|误导线索怎么埋|假嫌疑人怎么做,悬疑|推理|奇幻|都市,假线索必须有自己的合理解释，既能误导又能在揭晓后站得住，禁止作者硬骗。,红鲱鱼的关键是合情合理的误导，让读者回看时发现自己是被信息偏置带偏，而不是被作者耍赖。,最稳的做法是给显眼嫌疑人一个真实但无关主案的秘密，用他的异常行为掩护真正低调的凶手。,悬疑,红鲱鱼误导线索,探案|身份调查|幕后黑手追查|推理反转,假线索没有合理解释|真凶突然空降|所有嫌疑人都一样显眼,女仆慌忙逃跑是因为打碎花瓶，不是偷走钻石，但她的慌张正好吸走了所有注意力。,作者反复暗示甲有罪，结局却只说那是故意骗读者，没有任何逻辑补偿。
WT-013,write|plan,布局,知识补充,幕后布局|因果链|多米诺骨牌|蝴蝶效应,幕后布局怎么写|小动作引发大结果|布局链怎么排,悬疑|权谋|奇幻|都市,起手动作必须看似和终局无关，但每一步因果都要能回溯，不能靠作者暗箱跳步。,高智商布局最爽的地方不是最后结果，而是读者回头发现每一步微小扰动都早已铺好。,先设计终局，再倒推触发链条，让买花、换位、开窗这类小动作一步步滚成可见的大结果。,布局,多米诺骨牌式幕后布局,刺杀|夺权|骗局收网|大型反转,中间因果断裂|初始动作和结果过于直连|揭晓后仍解释不通,他先买下会引发过敏的花，再借女仆开窗这一环把守卫调离火烛旁，真正的杀招因此获得视野。,主角前面做了一堆看似深谋远虑的小事，揭晓时却发现和最终结果没有任何必要关联。
WT-014,write|plan,智斗,知识补充,博弈论|智斗|心理博弈|预判反制,智斗怎么写得聪明|心理战怎么写|三轮博弈怎么排,悬疑|无限流|都市|科幻,先把规则讲清，再让合作、背叛和预判反制层层升级，不要拿信息黑箱冒充高智商。,智斗场面要把规则、利益和心理预判都摆上桌，读者才能感到胜利来自脑子而不是作者偏爱。,最稳的做法是用两到三轮博弈逐层抬高 stakes，让第一次合作成为第二次背叛和第三次反制的前提。,智斗,三轮博弈反制,囚徒困境|赌局|副本谈判|高压对峙,规则含混|主角赢在突然多知道信息|对手像木头人不会调整策略,他故意在第一轮让出小利换来对手贪心暴露，真正的杀招藏在第三轮规则结算时点。,所谓智斗只是双方说了几句狠话，最后主角靠灵机一动突然翻盘。
WT-015,write|plan,伏笔,知识补充,伏笔埋设|闲笔伏笔|细节埋线|对话漏口风,伏笔怎么伪装成闲笔|细节埋线怎么写|不让读者早猜到怎么埋,全部,把伏笔伪装成顺手细节、口误或环境描写，并预留后文呼应点，禁止硬塞提示牌。,高级伏笔要看似无意，像一句口误、一个物件细节或一次重复动作，回收时才会有恍然感。,最好把线索藏在自然对话、随手描写和习惯动作里，并提前确定后文如何回点，否则只会像作者刻意眨眼。,伏笔,伏笔伪装式闲笔,幕后黑手埋线|背叛预警|身份秘密|长线回收,伏笔过于显眼|只埋不回|回收时发现前文根本没有支撑,他总在紧张时摸左手无名指，直到戒指真相揭开，读者才明白那动作一直在说话。,作者突然加粗描写一个普通杯子十次，后面又强行说它其实很重要。
WT-016,write,环境,知识补充,动态环境|天气变化|光影变化|情景交融,天气怎么跟剧情同步|环境怎么动态变化|光影描写怎么服务情绪,全部,写环境变化过程，不写静态贴标签，让天气和光影随着剧情节奏与人物情绪一起推进。,环境描写真正有效时，不是背景板，而是会随着争执、追逐、恐惧和释然一起变动的流动装置。,远雷到暴雨、黄昏到夜色、烛火由稳转摇，都能把情绪和局势往前推，而不只是增加形容词。,环境,动态环境映射情绪,争执升级|大战将起|情感转折|悬疑追踪,环境一上来铺满却后面不再变化|环境和人物情绪无关|只有空洞氛围词,雷声起初还在天边，等她那句“你从没信过我”落下，雨已经重得像要把整条街砸穿。,场景一开头说天很阴，之后无论剧情怎么变天气都像被冻结。
WT-017,write|plan,文体,知识补充,档案体|SCP体|实验记录|冷静叙述,档案体怎么写|SCP风格怎么做|实验记录怎么有恐怖感,悬疑|科幻|规则怪谈|奇幻,保持客观冷漠语气，让恐怖来自记录内容本身和删改留白，不要在档案里突然抒情。,异常档案体最有效的不是形容恐怖，而是用极冷静的话记录极不正常的事实，让读者自己补完可怕之处。,编号、收容措施、测试日志、删节片段和戛然而止的记录都能制造伪科学真实感与留白恐惧。,文体,冷静档案记录体,异常收容|实验记录|规则档案|伪科学恐怖,档案体里加入太多感叹和抒情|信息全说满没有留白|格式不稳定像随笔,附录四：受试者D-9341于食用烘烤后吐司三秒后失踪，房间内遗留面包屑0.3克。,这件异常物太可怕了，大家都吓坏了，现场简直惊心动魄。
WT-018,write,对白,知识补充,黑话对白|术语点缀|地域口吻|圈层语言,黑话怎么写进对白|术语怎么不影响阅读|地域特色对白怎么做,全部,黑话只点缀关键名词，并通过上下文让读者自然理解，不要把对白写成术语墙。,圈层语言的作用是增加职业感和地域感，少量点缀比通篇堆砌更有沉浸效果。,警察、钱、同伙、仇家等高频词最适合做黑话替换，再配一两个自然例句，就足够建立圈层气味。,对白,黑话点缀式对白,帮派谈判|黑市交易|街头混混|组织内部交流,一段话塞满十几个新词|没有上下文解释|所有角色都说同一种黑话,“烟雾子刚扫过两条街，今晚别碰亮片。”他说得含糊，跟在后头的新人才后知后觉地点了点头。,全段对白充满生词，却没有任何语境帮助读者理解。
